batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
66,0.01274236319362793,0.8517421672484352,0.00019849869192697445,67,74,29,35,0.12319888286329092,1.69957299721241
69,0.011716363836690164,0.8488606981190505,0.00018832064493539173,68,73,26,34,0.12475824474909075,1.7271816721439361
68,0.011899079704159744,0.8508382138501809,0.00019320464197525653,69,73,26,34,0.12517784350845396,1.7076654829025268
67,0.011344544026916306,0.8504065107124956,0.00018861204536542496,70,73,26,34,0.11191980420318853,1.737263005244732
68,0.012339516302470113,0.8534221479339084,0.0002011239030540777,69,73,27,34,0.13051391082413255,1.7165716062545777
70,0.012798772373897564,0.8495880582766095,0.00020559503842034003,68,72,27,34,0.13660486717693987,1.7015253512859345
68,0.012292673436103744,0.8508018109399256,0.00021254548383197515,66,73,27,35,0.1276028136909551,1.726505278134346
68,0.012123077688657469,0.8524150308310079,0.0001939865884972789,70,73,27,34,0.12685899881004817,1.71665368680954
69,0.012235879528422266,0.8513395509036197,0.000206169850575944,68,73,27,35,0.12735487539731946,1.7218514522790909
68,0.012151180280275706,0.8521461608491608,0.00019696318941511568,69,73,27,34,0.12698296795686598,1.723034365940094
69,0.01168615978851444,0.8513533634880712,0.0002069110060023509,71,73,27,35,0.12567289796076084,1.7209920494198798
69,0.011833113670648699,0.8510218929339797,0.0002053092709605642,68,73,27,35,0.12791668584004173,1.7193788035988808
69,0.011712906430063437,0.8498361307822624,0.00019993093631829383,71,73,27,35,0.1281158985716349,1.7334265153646469
67,0.01197316296218937,0.8500362440997609,0.00020278829109828455,68,73,28,35,0.1266564449067759,1.7012437277197838
69,0.011999635699996163,0.8489591896138481,0.00020638131042406875,69,72,27,34,0.13335943706360037,1.7253555257678033
68,0.011570192658771036,0.8495842674006338,0.0002000657880738755,69,73,26,34,0.12764592522935742,1.7215811449050904
68,0.011561374254557411,0.8509366094706615,0.00019942847864841493,71,73,27,35,0.12769899283312242,1.6900853791236878
68,0.011782378549543537,0.8508762344424975,0.0002041248577295991,69,73,27,34,0.1303139588871967,1.7395988132953644
68,0.011678588278537648,0.8503726758910473,0.00020047023689188107,70,73,27,34,0.1284865028801545,1.7143962587594985
68,0.011606598452488447,0.8492194754755807,0.00020215620855204116,70,72,27,35,0.1265008838318497,1.7060781391620636
67,0.011651808038355554,0.8501225446232199,0.0002069051114790236,68,72,27,34,0.12834005198301485,1.7332740273237228
67,0.011667052692143213,0.8500509411629805,0.00020513908536154765,68,72,27,34,0.12828401363016986,1.7240601204752921
67,0.011302572166451025,0.8512420972469971,0.00020016963545919214,70,73,27,35,0.1219686416169537,1.7070483879625797
